customer_id,industry,region,sales_calls_last_30d,support_tickets_last_30d,days_since_last_login,total_revenue,subscription_age_months,churn
3a7b168a-a91a-4c46-b4d7-224f4929e097,SaaS,North America,4,0,17,2346.34,48,1
f887d8fc-1e21-451f-9f9c-aa3ad4667baa,Retail,Europe,1,3,47,4595.41,9,1
96269a59-f2f2-4aec-8d93-e9de1bd0bdd0,SaaS,South America,3,1,37,1813.77,6,1
a9e38bbc-f2e4-4677-a26c-5ccb1af713f2,Healthcare,North America,3,0,5,3044.67,2,0
9c151773-8c6e-4df5-921c-3a9a583bb0ad,Retail,Europe,3,1,38,934.81,33,0
c8c33e38-e3d8-4643-90c9-45dace3aa756,SaaS,South America,2,3,45,2900.45,13,1
abf26e2e-8145-4c2a-b67e-3647cdf99395,Education,Australia,7,1,28,3956.12,15,0
26d3d929-822b-42e4-99ea-475e17dd7c4f,Education,Asia,3,1,55,2460.65,52,0
da6f5c98-aa75-4eb9-b01c-c89cddbf7b5a,SaaS,Europe,3,4,27,387.38,45,1
f9e3d5b3-3cf4-449d-b637-8d80b12184db,Finance,Asia,3,1,13,615.75,10,1
15c5c571-ee59-434f-9d60-ac1b333b93cd,Finance,North America,3,4,24,5074.45,6,0
dfff763e-df09-4fe2-b304-dac42d8405fa,SaaS,Asia,1,2,22,128.74,55,1
01e33c03-69d2-47aa-8037-ebeb5ea39dc1,Education,Asia,3,1,2,1433.69,52,1
652f49f6-eeff-4a89-9234-25f572cd4ca8,Healthcare,South America,5,3,59,8254.44,8,1
2cdf0790-57c9-4863-bb13-f0242ca8535e,Healthcare,North America,2,2,18,2785.29,36,0
8d008ea6-cadf-4bcc-9f25-101c9575f810,Education,Asia,4,3,12,2059.54,37,0
6dddf871-ba68-419c-90ba-6b505def0026,SaaS,North America,0,2,14,1676.25,43,0
b794354c-09d1-4d4b-b39e-3402399190c7,Finance,North America,1,2,14,11944.3,55,0
3ce5e4d2-8b6d-4c45-8cc7-dc48d9c19832,SaaS,Australia,3,2,29,7169.44,18,1
b969d38b-6791-4371-b1af-227741a60027,Finance,Europe,1,2,22,1934.05,24,0
28116bc2-2ae8-4e48-a2b0-79d58e392bb9,Retail,Asia,3,1,59,1284.12,45,1
55a21b77-6183-4c3c-a22f-b605094c33db,SaaS,South America,6,1,10,602.22,41,1
24d7c10a-cb7d-4491-a07a-cf5cbce032d6,Education,Europe,4,3,29,11533.87,11,0
113ac5e5-6ff3-45b8-b9e3-32f4aca19b15,Healthcare,Asia,1,0,40,11441.15,60,0
50ff77c5-ee19-4ed1-a104-0d83422c6f63,Education,Europe,3,2,20,25.37,44,0
d659ce2d-d3e2-4d28-bfd0-044575d4acc7,SaaS,Europe,4,1,2,6861.79,53,0
788d7179-e17f-41fc-8e22-25c698bc4ff1,Finance,Australia,6,2,4,18061.55,18,0
4d101c7e-32ae-47b3-a2c4-803dab4642d7,Retail,South America,5,5,45,5184.84,57,1
d216a173-7b4f-472f-9b08-049efa3f3407,Finance,Europe,2,3,31,9523.63,42,1
e1ab5999-a444-4fbf-b967-edc803e38cb5,Healthcare,Australia,3,3,16,23052.85,10,0
231755a5-048c-43bf-ab91-a9a8c227e995,Retail,Europe,9,1,35,8306.64,48,0
